datetime,CO2 [PPM],Temp [C],relHum [%]
0.09,984.377800,23.12,39.76
10.30,985.466200,23.13,39.70
20.51,987.261800,23.09,39.77
30.72,986.428800,23.06,39.84
40.93,985.760400,23.05,39.83
51.14,983.540400,23.08,39.88
61.35,982.628600,23.09,39.82
datetime,CO2 [PPM],Temp [C],relHum [%]
datetime,CO2 [PPM],Temp [C],relHum [%]
datetime,CO2 [PPM],Temp [C],relHum [%]
datetime,CO2 [PPM],Temp [C],relHum [%]
datetime,CO2 [PPM],Temp [C],relHum [%]
0.01,996.380600,23.12,39.74
10.28,988.034200,23.09,39.80
20.50,988.622000,23.12,39.77
datetime,CO2 [PPM],Temp [C],relHum [%]
datetime,CO2 [PPM],Temp [C],relHum [%]
0.01,991.799000,23.12,39.77
10.22,992.389200,23.12,39.80
datetime,CO2 [PPM],Temp [C],relHum [%]
0.01,990.995200,23.12,39.87
10.22,993.628200,23.13,39.79
datetime,CO2 [PPM],Temp [C],relHum [%]
0.01,998.794800,23.11,39.91
300.22,1003.080200,22.92,40.11
600.43,979.027000,22.81,40.30
900.64,978.090200,22.81,40.24
1200.85,972.592400,22.71,40.42
