datetime,CO2 [PPM],Temp [C],relHum [%]
0.00,877.062400,21.94,42.67
300.29,872.049200,22.05,42.58
600.50,889.006600,22.05,42.60
900.73,879.977400,22.01,42.54
1200.94,867.085000,21.99,42.52
1501.16,855.363800,22.04,42.42
1801.38,837.777200,21.99,42.50
2101.66,830.342800,21.95,42.49
2401.88,821.156400,21.94,42.39
2702.10,806.670600,22.01,41.86
3002.31,737.472600,21.92,41.29
3302.54,700.921200,21.92,41.20
3602.75,655.343800,21.87,39.81
3902.98,623.130600,21.77,39.72
4203.19,687.133200,21.95,40.65
4503.41,676.513000,21.88,40.22
4803.79,675.026600,21.88,40.34
5104.00,682.326000,21.87,40.42
5404.23,683.201000,21.91,40.55
5704.46,770.859400,22.11,41.35
6004.66,812.050600,22.32,41.40
6304.88,859.776400,22.46,41.39
6605.10,899.259000,22.60,41.54
6905.31,941.745000,22.63,41.88
7205.54,979.578200,22.74,41.57
7505.75,1023.045800,22.79,41.43
