datetime,CO2 [PPM],Temp [C],relHum [%]
0.01,978.164000,22.74,40.59
300.23,977.860200,22.66,40.44
600.44,948.217400,22.60,40.46
900.66,937.154000,22.61,40.56
1200.88,918.863600,22.51,40.69
1501.10,908.201200,22.44,40.85
1801.31,901.049400,22.51,40.83
2101.54,885.378000,22.46,40.90
2401.76,877.308600,22.38,40.89
2701.98,858.798000,22.36,41.00
3002.20,856.647600,22.36,41.06
3302.41,852.666400,22.32,41.05
3602.63,838.968400,22.32,41.08
3902.85,840.925600,22.26,41.16
4203.07,835.252800,22.24,41.20
4503.29,815.427400,22.24,41.24
4803.60,820.329400,22.17,41.27
5103.82,818.202800,22.23,41.25
5404.03,816.056800,22.20,41.30
5704.24,808.432000,22.13,41.45
6004.46,808.334400,22.17,41.38
6304.67,804.121000,22.09,41.51
6604.89,799.905600,22.11,41.51
6905.10,796.253000,22.11,41.47
7205.32,800.314000,22.12,41.49
7505.53,794.703200,22.05,41.52
7805.74,795.071800,22.06,41.54
8105.96,783.978800,22.02,41.60
8406.18,777.224400,22.04,41.53
8706.39,778.649800,21.99,41.58
9006.61,780.050600,21.98,41.60
9306.82,778.694200,21.98,41.65
9607.19,771.974400,21.98,41.68
9907.40,768.304400,21.95,41.73
10207.62,767.571400,21.96,41.68
10507.84,766.634800,21.92,41.70
10808.06,768.619600,21.95,41.68
11108.27,762.860400,21.94,41.74
11408.49,759.214200,21.94,41.72
11708.70,768.298400,21.88,41.86
12008.92,762.922600,21.89,41.77
12309.14,766.831400,21.89,41.75
12609.36,765.116400,21.89,41.80
12909.58,769.923200,21.87,41.85
13209.79,765.276000,21.81,41.91
13510.01,757.665600,21.82,41.90
13810.22,749.849400,21.88,41.74
14110.44,748.089000,21.81,41.87
14410.66,748.368200,21.81,41.96
14710.97,743.096800,21.82,41.84
15011.19,738.440000,21.77,41.90
15311.41,738.637800,21.80,41.89
15611.63,741.288200,21.77,41.92
15911.90,737.937000,21.78,41.89
16212.12,739.988800,21.77,41.97
16512.34,735.950400,21.74,41.97
16812.55,728.728800,21.77,41.89
17112.77,726.842200,21.74,41.97
17412.99,730.778600,21.73,41.94
17713.20,737.050200,21.71,42.05
18013.42,737.591400,21.73,41.98
18313.64,736.367600,21.68,41.98
18613.86,734.844600,21.74,41.94
18914.07,736.429800,21.70,41.98
19214.29,729.834600,21.67,42.04
19514.60,724.576600,21.67,42.02
19814.82,729.921200,21.67,42.06
20115.04,728.861200,21.65,42.00
20415.26,725.616800,21.68,42.02
20715.48,728.304400,21.62,42.11
21015.69,723.738000,21.67,42.09
21315.91,726.876600,21.60,42.10
21616.13,724.922200,21.64,42.08
21916.40,719.302800,21.62,42.16
22216.62,718.165000,21.61,42.18
22516.84,722.597200,21.61,42.12
22817.06,724.705600,21.61,42.13
23117.28,726.354000,21.62,42.08
23417.50,727.615400,21.62,42.16
23717.71,722.365600,21.58,42.10
24017.93,721.408600,21.61,42.18
24318.24,720.035400,21.57,42.24
24618.47,716.840000,21.62,42.14
24918.68,721.401400,21.56,42.20
25218.91,719.612000,21.58,42.16
25519.13,716.599400,21.57,42.21
25819.35,710.899200,21.57,42.21
26119.56,713.994600,21.56,42.21
26419.78,720.300000,21.57,42.20
26720.00,729.889600,21.57,42.16
27020.22,736.249000,21.53,42.25
27320.44,742.305600,21.53,42.19
27620.66,743.181200,21.51,42.26
27920.88,742.997000,21.54,42.25
28221.10,744.304800,21.54,42.24
28521.32,740.621600,21.53,42.23
28821.54,751.778200,21.57,42.14
29121.86,749.159800,21.53,42.21
29422.07,750.521600,21.57,42.18
29722.29,748.335000,21.61,42.26
30022.52,753.940000,21.60,42.22
